nip,bulan,tahun,nilai_angsuran,tanggal_pembayaran
7195001K,Januari,2025,3734355,2025-02-03
7194010G,Januari,2025,2987484,2025-02-03
7194010G,Februari,2025,2987484,2025-02-27
7194010G,Maret,2025,2987484,2025-03-25
7194010G,April,2025,2987484,2025-05-05
7194010G,Mei,2025,2987484,2025-05-15
7194010G,Juni,2025,2987484,2025-06-16
7194010G,Juli,2025,2987484,2025-07-23
7194010G,Agustus,2025,2987484,2025-08-15
7194010G,September,2025,2987484,2025-09-12
7194010G,Oktober,2025,2987484,
7194010G,November,2025,2987484,
7194010G,Desember,2025,2987484,
7193030F,Januari,2025,2987484,2025-02-27
7193030F,Februari,2025,2987484,2025-02-27
7193030F,Maret,2025,2987484,2025-03-26
7193030F,April,2025,2987484,2025-05-02
7193030F,Mei,2025,2987484,2025-05-15
7193030F,Juni,2025,2987484,2025-06-24
7193030F,Juli,2025,2987484,2025-07-23
7193030F,Agustus,2025,45861,2025-08-15
7193030F,September,2025,2987484,2025-09-12
7193030F,Oktober,2025,2987484,
7193030F,November,2025,2987484,
7193030F,Desember,2025,2987484,
7393326B,Januari,2025,2983100,2025-02-03
7393326B,Februari,2025,2983100,2025-05-06
7393326B,Maret,2025,2983100,2025-05-05
7393326B,April,2025,2983100,2025-04-28
7393326B,Mei,2025,2983100,2025-05-15
7393326B,Juni,2025,2983100,2025-06-16
7393326B,Juli,2025,2983100,2025-07-23
7393326B,Agustus,2025,2983100,2025-08-15
7393326B,September,2025,2983100,
7393326B,Oktober,2025,2983100,
7393326B,November,2025,2983100,
7393326B,Desember,2025,2983100,
8107134Z,Januari,2025,3309000,2025-02-26
8107134Z,Februari,2025,3309000,2025-02-26
7907040Z,Januari,2025,3297589,2025-02-03
7907040Z,Februari,2025,3297589,2025-03-03
7907040Z,Maret,2025,3297589,2025-03-26
7907040Z,April,2025,3297589,2025-04-29
7907040Z,Mei,2025,3297589,2025-05-22
7907040Z,Juni,2025,3297589,2025-06-16
7907040Z,Juli,2025,3297589,2025-07-14
7907040Z,Agustus,2025,3297589,2025-08-15
7907040Z,September,2025,3297589,
7907040Z,Oktober,2025,3297589,
7907040Z,November,2025,3297589,
7907040Z,Desember,2025,3297589,
7905002N,Januari,2025,3297589,2025-02-24
7905002N,Februari,2025,3297589,2025-02-26
7905002N,Maret,2025,3297589,2025-03-06
7905002N,April,2025,3297589,2025-05-05
7905002N,Mei,2025,3297589,2025-05-22
7905002N,Juni,2025,3297589,2025-06-16
7905002N,Juli,2025,3297589,2025-07-14
7905002N,Agustus,2025,3297589,2025-08-15
7905002N,September,2025,3297589,2025-09-17
7905002N,Oktober,2025,3297589,
7905002N,November,2025,3297589,
7905002N,Desember,2025,3297589,
7091010S,Januari,2025,4742643,2025-02-03
7091010S,Februari,2025,4742643,2025-03-04
7091010S,Maret,2025,4742643,2025-03-26
8307221Z,Januari,2025,3298000,2025-02-03
8307221Z,Februari,2025,3298000,2025-02-27
8307221Z,Maret,2025,3298000,2025-03-26
8307221Z,April,2025,3298000,2025-05-02
8307221Z,Mei,2025,3298000,2025-05-22
8307221Z,Juni,2025,3298000,2025-06-16
8307221Z,Juli,2025,3298000,
8307221Z,Agustus,2025,3298000,2025-08-15
8307221Z,September,2025,3298000,2025-09-17
8307221Z,Oktober,2025,3298000,
8307221Z,November,2025,3298000,
8307221Z,Desember,2025,3298000,
8006208Z,Januari,2025,3297589,2025-03-27
8006208Z,Februari,2025,3297589,2025-02-24
8006208Z,Maret,2025,3297589,2025-03-26
8006208Z,April,2025,3297589,
8006208Z,Mei,2025,3297589,2025-05-22
8006208Z,Juni,2025,3297589,2025-06-16
8006208Z,Juli,2025,3297589,2025-08-07
8006208Z,Agustus,2025,3297589,2025-09-03
8006208Z,September,2025,3297589,
8006208Z,Oktober,2025,3297589,
8006208Z,November,2025,3297589,
8006208Z,Desember,2025,3297589,
8609336Z,Januari,2025,3298000,2025-02-03
8609336Z,Februari,2025,3298000,2025-02-26
8609336Z,Maret,2025,3298000,2025-03-26
8609336Z,April,2025,3298000,2025-05-02
8609336Z,Mei,2025,3298000,2025-05-22
8108076Z,Januari,2025,3297589,2025-02-03
8108076Z,Februari,2025,3297589,2025-03-03
8108076Z,Maret,2025,3297589,2025-05-05
8108076Z,April,2025,3297589,2025-05-02
7293363B,Januari,2025,4239757,2025-02-03
7293363B,Februari,2025,4239757,2025-02-26
7293060F,Januari,2025,2938900,2025-02-03
7293060F,Februari,2025,2938900,2025-02-24
7293060F,Maret,2025,2938900,2025-03-25
7293060F,April,2025,2938900,2025-05-05
7293060F,Mei,2025,2938900,2025-05-06
7293060F,Juni,2025,2938900,2025-06-17
7293060F,Juli,2025,2938900,2025-08-12
7293060F,Agustus,2025,2938900,2025-08-12
7293060F,September,2025,2938900,2025-09-12
7293060F,Oktober,2025,2938900,
7293060F,November,2025,2938900,
7293060F,Desember,2025,2938900,
7602002F,Januari,2025,4710842,2025-03-03
7602002F,Februari,2025,4710842,2025-02-24
7602002F,Maret,2025,4710842,2025-03-26
7602002F,April,2025,4710842,2025-04-30
7602002F,Mei,2025,4710842,2025-05-22
7602002F,Juni,2025,3710842,2025-06-16
7602002F,Juli,2025,3710842,2025-07-14
7602002F,Agustus,2025,3710842,2025-08-15
7602002F,September,2025,3710842,2025-09-17
7602002F,Oktober,2025,3710842,
7602002F,November,2025,3710842,
7602002F,Desember,2025,3710842,
7904006F,Juli,2025,270000000,2025-07-18
7904006F,September,2025,4239758,
8006231Z,April,2025,300000000,2025-05-07
8006231Z,Juni,2025,4710842,2025-06-16
123,Mei,2025,3319500,2025-06-19
123,Juni,2025,3319500,2025-07-04
123,Juli,2025,3319500,2025-08-07
123,Agustus,2025,3319500,2025-09-03
123,September,2025,3319500,
123,Mei,2025,3227300,2025-07-10
123,Juni,2025,3227300,2025-07-10
123,Juli,2025,3227300,2025-08-07
123,Agustus,2025,3227300,2025-09-03
123,September,2025,3227300,2025-09-12
